Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
Benjamin Mkapa National Stadium♦,"60,000",Africa,Tanzania,Dar es-Salaam,,"Tanzania national football team,Young Africans"
Hefei Olympic Sports Centre Stadium,"60,000",East Asia,China,"Hefei,Anhui",,Anhui Jiufang
Jaber al-Ahmad International Stadium♦,"60,000",West Asia,Kuwait,Kuwait City,,Kuwait national football team
Hammadi Agrebi Stadium♦,"60,000",Africa,Tunisia,Tunis,,Tunisia national football team
Jawaharlal Nehru Stadium,"60,000[47]",South Asia,India,New Delhi,,
Mogadishu Stadium♦,"60,000",Africa,Somalia,Mogadishu,,Somalia national football team
National Heroes Stadium♦,"60,000",Africa,Zambia,Lusaka,,Zambian national football team
Autzen Stadium,"60,000",North America,United States,"Eugene, Oregon",,
Odi Stadium,"60,000",Africa,South Africa,"Mabopane, Gauteng",,
Morodok Techo National Stadium,"60,000",Southeast Asia,Cambodia,Phnom Penh,,Cambodia national football team
Shenyang Olympic Sports Centre Stadium,"60,000",East Asia,China,"Shenyang,Liaoning",,
Optus Stadium,"60,000",Oceania,Australia,"Perth, Western Australia",,"Perth Glory FC,Fremantle Dockers,West Coast Eagles"
Estadio Monumental Isidro Romero Carbo♦,"59,283[48]",South America,Ecuador,Guayaquil,,Barcelona Sporting Club
Groupama Stadium,"59,186",Europe,France,Décines-Charpieu,,Olympique Lyonnais
Chongqing Olympic Sports Centre Stadium,"58,680",East Asia,China,Chongqing,,
Kazimierz Górski National Stadium♦,"58,580",Europe,Poland,Warsaw,,Poland national football team
Stadio San Nicola,"58,270",Europe,Italy,"Bari, Apulia",,SSC Bari
Commanders Field,"58,000",North America,United States,"Landover, Maryland",,Washington Commanders
Deutsche Bank Park,"58,000[49]",Europe,Germany,Frankfurt,,Eintracht Frankfurt
Estadio La Cartuja de Sevilla,"57,619",Europe,Spain,Seville,,
Carter–Finley Stadium,"57,583[50]",North America,United States,"Raleigh, North Carolina",,NC State Wolfpack football
La Bombonera,"57,200",South America,Argentina,Buenos Aires,,CA Boca Juniors
Volksparkstadion,"57,030",Europe,Germany,Hamburg,,Hamburger SV
Estadio Mario Alberto Kempes,"57,000",South America,Argentina,Córdoba,,"Talleres de Córdoba, someBelgrano de Córdobamatches."
Jinan Olympic Sports Centre Stadium,"56,808",East Asia,China,"Jinan,Shandong",,Shandong Taishan
Estadio Jalisco,"56,713[51]",North America,Mexico,"Guadalajara, Jalisco",,Atlas
Commonwealth Stadium,"56,302",North America,Canada,"Edmonton, Alberta",,"Edmonton Elks,Canadian men'sandwomen'snational teams"
Dodger Stadium,"56,000",North America,United States,Los Angeles,,Los Angeles Dodgers
Stade du 19-mai-1956,"56,000",Africa,Algeria,Annaba,,USM Annaba
Estadi Olímpic Lluís Companys,"55,926",Europe,Spain,"Barcelona, Catalonia",,
Arena do Grêmio,"55,662",South America,Brazil,"Porto Alegre, Rio Grande do Sul",,Grêmio FBPA
Arena Națională♦,"55,634",Europe,Romania,Bucharest,,Romania national football team
Stadion Rajko Mitić♦,"55,538",Europe,Serbia,Belgrade,,"Red Star Belgrade,Serbia national football team"
Stadion Śląski,"55,211",Europe,Poland,Chorzów,,"Poland national football team,Ruch Chorzów"
Etihad Stadium,"55,097",Europe,England,"Manchester, North West England",,Manchester City
Mestalla,"55,000",Europe,Spain,Valencia,,Valencia CF
National Stadium♦,"55,000",Southeast Asia,Singapore,Singapore,,Singapore national football team
National Stadium♦,"55,000",East Asia,Taiwan,Kaohsiung,,Chinese Taipei national football team
He Long Stadium,"55,000",East Asia,China,"Changsha,Hunan",,
Cape Town Stadium,"55,000",Africa,South Africa,"Cape Town, Western Cape",,"Cape Town City FC,DHL Western Cape Stormers"
Plovdiv Stadium♦,"55,000",Europe,Bulgaria,Plovdiv,,
Bobby Dodd Stadium,"55,000",North America,United States,Atlanta,,Georgia Tech Yellow Jackets football
Johan Cruijff Arena♦,"54,990[52]",Europe,Netherlands,Amsterdam,,AFC Ajax
Tianhe Stadium,"54,856",East Asia,China,"Guangzhou,Guangdong",,
Stadio Diego Armando Maradona,"54,726",Europe,Italy,Naples,,SSC Napoli
Tianjin Olympic Sports Centre Stadium,"54,696",East Asia,China,Tianjin,,Tianjin Teda
MERKUR SPIEL-ARENA,"54,600",Europe,Germany,Düsseldorf,,Fortuna Düsseldorf
Boris Paitchadze Dinamo Arena♦,"54,549",West Asia,Georgia,Tbilisi,,"Georgia national football team,FC Dinamo Tbilisi"
Wuhan Sports Centre Stadium,"54,357",East Asia,China,"Wuhan,Hubei",,
BC Place Stadium,"54,320",North America,Canada,"Vancouver, British Columbia",,"Vancouver Whitecaps FC,BC Lions"
Yankee Stadium,"54,251",North America,United States,New York City,,"New York Yankees,New York City FC"
Hrazdan Stadium♦,"54,208",West Asia,Armenia,Yerevan,,"FC Ararat Yerevan,Ulisses FC"
BORUSSIA-PARK,"54,057",Europe,Germany,Mönchengladbach,,Borussia Mönchengladbach
Moses Mabhida Stadium,"54,000",Africa,South Africa,"Durban, KwaZulu-Natal",,"AmaZulu FC,Cell C Durban Sharks"
Busan Asiad Main Stadium,"53,864",East Asia,South Korea,Busan,,Busan IPark
Estádio Estadual Jornalista Edgar Augusto Proença,"53,645",South America,Brazil,"Belém,Pará",,"Paysandu SC,Clube do Remo,Tuna Luso Brasileira,SC Belem"
Estadio Único Diego Armando Maradona,"53,600",South America,Argentina,La Plata,,
Adelaide Oval,"53,500",Oceania,Australia,"Adelaide, South Australia",,"Adelaide Crows,Port Adelaide Power"
Docklands Stadium,"53,359",Oceania,Australia,"Melbourne, Victoria",,"Western Bulldogs,Essendon,St. Kilda,Carlton,North Melbourne"
Estádio Municipal João Havelange,"53,350",South America,Brazil,"Uberlândia, Minas Gerais",,Uberlânia EC
San Mamés,"53,332",Europe,Spain,Bilbao,,Athletic Bilbao
Aleppo International Stadium♦,"53,200",West Asia,Syria,Aleppo,,Al-Ittihad
Estadio Nacional,"53,086",South America,Peru,Lima,,Peru national football team
Huanglong Stadium,"52,672",East Asia,China,"Hangzhou,Zhejiang",,Hangzhou FC
RAMS Park,"52,652",Europe,Turkey,Istanbul,,Galatasaray
Suncorp Stadium,"52,500",Oceania,Australia,"Brisbane, Queensland",,"Brisbane Broncos,Queensland Maroons,Brisbane Roar FC,Queensland Reds"
St. James' Park,"52,405",Europe,England,"Newcastle upon Tyne, North East",,Newcastle United
Kings Park Stadium,"52,000",Africa,South Africa,"Durban, KwaZulu-Natal",,"Lamontville Golden Arrows,Cell C Durban Sharks"
Newlands Stadium,"51,900",Africa,South Africa,"Cape Town, Western Cape",,
Hampden Park,"51,866[53]",Europe,Scotland,Glasgow,,"Scotland national football team,Queen's Park"
Estadio Monumental de Maturín♦,"51,796",South America,Venezuela,Maturín,,Monagas Sport Club
Loftus Versfeld Stadium,"51,762",Africa,South Africa,"Pretoria, Gauteng",,SuperSport UnitedandVodacom Pretoria Bulls
Aviva Stadium♦,"51,700",Europe,Ireland,Dublin,,"Leinster Rugby,Republic of Ireland national football team,Ireland national rugby union team"
Guiyang Olympic Sports Centre Stadium,"51,638",East Asia,China,"Guiyang,Guizhou",,
Hohhot City Stadium,"51,632",East Asia,China,"Hohhot,Inner Mongolia",,
Rajamangala National Stadium♦,"51,552",Southeast Asia,Thailand,Bangkok,,Thailand national football team
Donbass Arena,"51,504",Europe,Ukraine,Donetsk,,
El Cilindro,"51,389",South America,Argentina,Avellaneda,,Racing Club de Avellaneda
