Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
Estadio Metropolitano de fútbol de Lara,"40,312",South America,Venezuela,Barquisimeto,,Unión Lara
Estadio Malvinas Argentinas,"40,268",South America,Argentina,Mendoza,,Godoy Cruz Antonio Tomba
Stadion Lukas Enembe,"40,263",Southeast Asia,Indonesia,Nolokla,,Persipura Jayapura
Gwangju World Cup Stadium,"40,245",East Asia,South Korea,Gwangju,,Gwangju FC
Sân vận động Quốc gia Mỹ Đình♦,"40,192",Southeast Asia,Vietnam,Hanoi,,Vietnam national football team
Goodison Park,"40,157",Europe,England,"Liverpool, North West",,Everton FC
Estádio Governador João Castelo,"40,149",South America,Brazil,"São Luís, Maranhão",,"Sampaio Corrêa FC,Moto Club SL,Maranhão AC"
Stade Miloud-Hadefi,"40,143",Africa,Algeria,Oran,,"Algeria national football team,MC Oran"
Estadio Campeón del Siglo,"40,005",South America,Uruguay,Montevideo,,Club Atlético Peñarol
Metalist Stadium,"40,003",Europe,Ukraine,Kharkiv,,"FC Metalist Kharkiv,FC Shakhtar Donetsk"
Al-Janoub Stadium,"40,000",West Asia,Qatar,Al-Wakrah,,
Al-Thumama Stadium,"40,000",West Asia,Qatar,Al-Thumama,,
Stade Ahmed-Zabana,"40,000",Africa,Algeria,Oran,,MC Oran
Stadion Batakan,"40,000",Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",,Persiba Balikpapan
Stadion Gelora Joko Samudro,"40,000",Southeast Asia,Indonesia,"Gresik, East Java",,Gresik United
Fisht Olympic Stadium,"40,000",Europe,Russia,Sochi,,
Rentschler Field,"40,000",North America,United States,"East Hartford, Connecticut",,
Jawaharlal Nehru Stadium,"40,000",South Asia,India,Kochi,,"Kerala Blasters,India national football team"
Hang Jebat Stadium,"40,000",Southeast Asia,Malaysia,Malacca,,Melaka United
Hong Kong Stadium♦,"40,000",East Asia,Hong Kong,So Kon Po,,South China AA
Stadium Negeri Pulau Pinang,"40,000",Southeast Asia,Malaysia,Batu Kawan,,Penang FA
Accra Sports Stadium,"40,000",Africa,Ghana,Accra,,"Accra Hearts of Oak SC,Great Olympics"
Sarawak Stadium,"40,000",Southeast Asia,Malaysia,Kuching,,Sarawak FA
Bogyoke Aung San Stadium♦,"40,000",Southeast Asia,Myanmar,Yangon,,Yangon United FC
Resonac Dome Ōita,"40,000",East Asia,Japan,Ōita,,Ōita Trinita
Stadium Darul Makmur,"40,000",Southeast Asia,Malaysia,Kuantan,,Pahang FA
Khalifa International Stadium,"40,000",West Asia,Qatar,Doha,,Qatar national football team
Stade de l’Amitié sino-gabonaise♦,"40,000",Africa,Gabon,Libreville,,Gabon national football team
Peoples Football Stadium,"40,000",South Asia,Pakistan,Karachi,,Pakistan national football team
JRD Tata Sports Complex Stadium,"40,000",South Asia,India,Jamshedpur,,"Jamshedpur FC,Tata Football Academy"
Bao'an Stadium,"40,000",East Asia,China,"Shenzhen,Guangdong",,
Kunming Tuodong Sports Centre Stadium,"40,000",East Asia,China,"Kunming,Yunnan",,China national football team
Taizhou Sports Centre Stadium,"40,000",East Asia,China,"Taizhou,Zhejiang",,
Wuhu Olympic Stadium,"40,000",East Asia,China,"Wuhu,Anhui",,
Huizhou Olympic Stadium,"40,000",East Asia,China,"Huizhou,Guangdong",,
